zone_id,timestamp,anomaly_score,is_disruption,predicted_surge_pct,affected_line,cascade_zone_ids,time_to_peak_min,z_subway,z_pickups,taxi_pickups,subway_ridership,bike_starts
1,2023-01-31 23:00:00,0.02665008954445131,0,0,-,,0,0.0,-0.21320071635561047,0.0,0.0,0
2,2023-01-31 23:00:00,0.10015803819634202,0,0,-,,0,-0.6009482291780521,0.0,0.0,3336.0,0
3,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
4,2023-01-31 23:00:00,0.07588426503994349,0,0,-,,0,-0.40029727206844906,0.0733444242282825,7.0,26648.0,1
5,2023-01-31 23:00:00,0.10351557682801392,0,0,-,,0,-0.4611929237013757,-0.21320071635561047,0.0,53.0,0
6,2023-01-31 23:00:00,0.10351557682801392,0,0,-,,0,-0.4611929237013757,-0.21320071635561047,0.0,53.0,0
7,2023-01-31 23:00:00,0.14014774867916124,0,0,-,,0,-0.6009482291780521,-0.3199176838625537,1.0,3336.0,0
8,2023-01-31 23:00:00,0.10015803819634202,0,0,-,,0,-0.6009482291780521,0.0,0.0,3336.0,0
9,2023-01-31 23:00:00,0.12680812774079334,0,0,-,,0,-0.6009482291780521,-0.21320071635561047,0.0,3336.0,0
10,2023-01-31 23:00:00,0.14203172674083123,0,0,-,,0,-0.6009482291780521,-0.33498950835591373,1.0,3336.0,0
11,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,0.0,6100.0,0
12,2023-01-31 23:00:00,0.10091834785490025,0,0,-,,0,-0.40029727206844906,-0.27361708674793656,0.0,26648.0,0
13,2023-01-31 23:00:00,0.18728407306305436,0,0,-,,0,-0.40029727206844906,0.9645428884131695,8.0,26648.0,2
14,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,0.0,6100.0,0
15,2023-01-31 23:00:00,0.10015803819634202,0,0,-,,0,-0.6009482291780521,0.0,0.0,3336.0,0
16,2023-01-31 23:00:00,0.12680812774079334,0,0,-,,0,-0.6009482291780521,-0.21320071635561047,0.0,3336.0,0
17,2023-01-31 23:00:00,0.14384097236468885,0,0,-,,0,-0.3549707440658193,-0.6774334534964183,0.0,6100.0,0
18,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
19,2023-01-31 23:00:00,0.1486860106950209,0,0,-,,0,-0.6009482291780521,-0.38822377998943125,0.0,3336.0,0
20,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
21,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,0.0,6100.0,0
22,2023-01-31 23:00:00,0.10768976317631546,0,0,-,,0,-0.3549707440658193,-0.38822377998943125,0.0,6100.0,0
23,2023-01-31 23:00:00,0.1344362605925424,0,0,-,,0,-0.4611929237013757,-0.46056618647183833,0.0,53.0,0
